Education,JoiningYear,City,SalaryTier,Age,Gender,EverBenched,ExperienceInCurrentDomain,LeaveOrNot,Country,AgeAfter5Years
Bachelors,2017,Bangalore,3,40,Female,No,4,0,India,45
Bachelors,2012,Bangalore,3,33,Female,No,1,0,India,38
Bachelors,2013,Bangalore,3,31,Male,No,2,0,India,36
Bachelors,2017,Pune,2,35,Female,No,5,1,India,40
Bachelors,2016,Pune,3,37,Male,No,3,0,India,42
Bachelors,2012,New Delhi,3,22,Female,No,0,0,India,27
Masters,2017,Pune,3,32,Male,Yes,2,0,India,37
Bachelors,2013,Bangalore,3,23,Female,No,1,0,India,28
Bachelors,2017,New Delhi,2,22,Male,No,0,1,India,27
PHD,2013,New Delhi,3,25,Male,No,3,0,India,30
PHD,2015,New Delhi,2,25,Female,No,3,0,India,30
Bachelors,2017,New Delhi,2,27,Female,No,5,0,India,32
Bachelors,2017,Bangalore,3,27,Male,No,5,1,India,32
Bachelors,2014,New Delhi,3,27,Female,No,5,0,India,32
Bachelors,2014,Bangalore,3,36,Male,No,4,0,India,41
Masters,2017,New Delhi,3,32,Male,No,1,1,India,37
Bachelors,2017,Bangalore,3,41,Male,No,3,0,India,46
Masters,2017,New Delhi,2,39,Female,No,2,1,India,44
Bachelors,2016,Bangalore,3,31,Male,Yes,5,0,India,36
Bachelors,2014,Bangalore,3,23,Female,No,1,0,India,28
PHD,2016,Pune,1,25,Female,No,3,1,India,30
Bachelors,2016,Bangalore,1,25,Female,No,3,0,India,30
PHD,2017,Bangalore,3,24,Female,No,2,0,India,29
Bachelors,2012,Pune,3,27,Male,Yes,5,0,India,32
Bachelors,2012,Bangalore,3,29,Male,Yes,2,1,India,34
Bachelors,2015,Bangalore,3,30,Female,No,3,1,India,35
Bachelors,2013,Bangalore,2,27,Female,No,5,1,India,32
Bachelors,2014,Pune,2,36,Female,No,2,1,India,41
Bachelors,2015,Pune,3,40,Female,Yes,2,1,India,45
Bachelors,2013,Bangalore,3,38,Male,No,0,0,India,43
Bachelors,2018,Bangalore,3,32,Male,No,3,1,India,37
Bachelors,2017,New Delhi,2,31,Male,No,2,0,India,36
Bachelors,2014,Bangalore,3,37,Female,No,3,0,India,42
Bachelors,2017,Bangalore,3,33,Female,No,6,0,India,38
Bachelors,2014,New Delhi,3,40,Female,No,3,0,India,45
Bachelors,2016,Bangalore,3,24,Male,No,2,1,India,29
Masters,2014,Bangalore,3,24,Female,No,2,1,India,29
PHD,2016,Bangalore,3,27,Male,No,5,0,India,32
Masters,2013,New Delhi,3,27,Female,No,5,0,India,32
Bachelors,2012,New Delhi,3,30,Male,No,1,1,India,35
Bachelors,2015,Pune,3,29,Male,No,1,0,India,34
Bachelors,2014,Pune,3,29,Female,No,1,1,India,34
Bachelors,2018,New Delhi,3,39,Female,Yes,0,1,India,44
Bachelors,2017,New Delhi,2,36,Female,No,5,0,India,41
Bachelors,2017,Bangalore,3,36,Male,No,2,0,India,41
Bachelors,2017,Pune,3,34,Male,No,5,0,India,39
Bachelors,2013,Pune,2,28,Male,No,5,0,India,33
Bachelors,2017,Pune,2,22,Female,No,0,1,India,27
PHD,2013,Pune,1,32,Female,No,0,1,India,37
Bachelors,2012,Bangalore,3,37,Male,No,4,0,India,42
Bachelors,2016,Bangalore,3,40,Male,No,5,0,India,45
Bachelors,2014,Pune,3,25,Female,No,3,1,India,30
PHD,2017,New Delhi,3,27,Male,No,5,0,India,32
Bachelors,2016,Bangalore,3,27,Male,Yes,5,0,India,32
Bachelors,2017,Bangalore,2,27,Male,No,5,0,India,32
Bachelors,2016,Pune,3,27,Male,No,5,0,India,32
Bachelors,2012,Pune,3,29,Male,No,1,0,India,34
Bachelors,2017,New Delhi,1,38,Female,No,1,1,India,43
Bachelors,2017,Bangalore,3,34,Male,No,3,0,India,39
Bachelors,2013,Bangalore,3,35,Male,No,5,0,India,40
Bachelors,2017,Bangalore,3,35,Male,No,3,0,India,40
Bachelors,2012,Bangalore,3,36,Male,No,5,0,India,41
Bachelors,2014,Pune,1,40,Female,No,1,1,India,45
Bachelors,2014,Bangalore,3,25,Male,Yes,3,0,India,30
Bachelors,2014,Pune,3,27,Male,No,5,0,India,32
Bachelors,2018,Pune,3,26,Male,No,4,1,India,31
Bachelors,2013,New Delhi,2,25,Female,No,3,1,India,30
Masters,2013,Bangalore,3,26,Female,No,4,1,India,31
Bachelors,2016,Bangalore,3,27,Male,No,5,1,India,32
Bachelors,2014,New Delhi,3,29,Female,No,1,0,India,34
Bachelors,2017,Bangalore,3,30,Male,No,2,1,India,35
Bachelors,2016,New Delhi,3,40,Female,No,1,1,India,45
Bachelors,2014,Pune,2,39,Female,No,5,1,India,44
Bachelors,2016,Bangalore,3,41,Female,No,1,1,India,46
Bachelors,2016,Bangalore,3,38,Male,No,2,1,India,43
Bachelors,2015,Bangalore,3,40,Male,No,0,0,India,45
Bachelors,2013,Bangalore,1,34,Male,No,4,1,India,39
Masters,2016,New Delhi,3,41,Female,No,4,0,India,46
Bachelors,2017,New Delhi,2,36,Female,No,1,0,India,41
Bachelors,2013,Bangalore,3,39,Male,No,5,1,India,44
Masters,2017,Pune,2,30,Male,Yes,2,1,India,35
Bachelors,2015,Pune,2,25,Female,No,3,1,India,30
PHD,2016,New Delhi,3,27,Male,No,5,0,India,32
PHD,2018,Bangalore,3,27,Female,No,5,1,India,32
Bachelors,2015,New Delhi,2,29,Female,No,1,1,India,34
Bachelors,2014,Bangalore,3,29,Male,No,2,0,India,34
Bachelors,2015,Bangalore,1,29,Male,No,4,0,India,34
Masters,2014,New Delhi,3,33,Male,No,2,0,India,38
Bachelors,2015,Bangalore,3,31,Male,No,1,0,India,36
PHD,2015,Pune,3,37,Male,No,2,0,India,42
Bachelors,2017,Pune,3,31,Male,No,0,0,India,36
Masters,2017,New Delhi,3,40,Male,No,2,0,India,45
Bachelors,2015,Bangalore,3,28,Male,No,5,0,India,33
Bachelors,2014,Pune,3,24,Female,No,2,1,India,29
Bachelors,2013,Bangalore,3,24,Female,No,2,1,India,29
Bachelors,2014,Bangalore,3,29,Male,Yes,2,0,India,34
Bachelors,2014,Bangalore,3,29,Female,No,1,1,India,34
Masters,2017,Pune,2,30,Male,No,0,1,India,35
Masters,2013,Pune,3,27,Female,Yes,5,1,India,32
Bachelors,2018,Pune,3,32,Male,No,1,1,India,37
Bachelors,2014,Bangalore,3,36,Male,No,1,0,India,41
Bachelors,2012,Pune,3,31,Male,No,5,0,India,36
Masters,2015,New Delhi,3,38,Female,No,0,0,India,43
Bachelors,2012,Bangalore,3,34,Male,No,5,0,India,39
Bachelors,2016,Bangalore,3,41,Male,No,2,0,India,46
Masters,2017,Bangalore,1,34,Male,No,1,0,India,39
Bachelors,2014,Bangalore,3,31,Male,No,5,0,India,36
Bachelors,2017,Bangalore,3,40,Male,No,1,0,India,45
Bachelors,2017,New Delhi,2,26,Male,No,4,0,India,31
Bachelors,2014,Pune,3,24,Male,No,2,0,India,29
Bachelors,2016,Bangalore,3,28,Female,No,3,0,India,33
Bachelors,2014,New Delhi,2,24,Female,No,2,1,India,29
Bachelors,2016,Bangalore,3,25,Male,No,3,0,India,30
Bachelors,2017,New Delhi,3,26,Male,No,4,0,India,31
Bachelors,2013,New Delhi,2,24,Female,No,2,1,India,29
Masters,2014,Bangalore,3,28,Female,No,4,1,India,33
Bachelors,2012,Bangalore,3,29,Female,No,1,0,India,34
Bachelors,2015,Pune,2,34,Female,No,5,1,India,39
Bachelors,2014,Pune,3,40,Male,No,5,0,India,45
Bachelors,2017,Bangalore,3,34,Female,No,2,0,India,39
Bachelors,2015,Pune,2,40,Female,No,4,1,India,45
Bachelors,2017,New Delhi,2,41,Female,No,4,0,India,46
Bachelors,2015,New Delhi,3,36,Female,No,2,0,India,41
Bachelors,2018,Pune,3,28,Male,Yes,0,1,India,33
Masters,2015,New Delhi,3,26,Female,No,4,1,India,31
Bachelors,2015,New Delhi,2,27,Female,No,5,1,India,32
Bachelors,2013,Bangalore,3,26,Male,Yes,4,0,India,31
Bachelors,2018,New Delhi,3,27,Female,Yes,5,1,India,32
Masters,2017,New Delhi,2,29,Male,No,2,0,India,34
Masters,2017,Pune,2,37,Male,No,2,0,India,42
PHD,2015,New Delhi,3,34,Female,No,4,0,India,39
Masters,2017,Bangalore,3,34,Female,No,4,0,India,39
Bachelors,2014,Pune,3,37,Female,No,5,1,India,42
Bachelors,2013,New Delhi,3,41,Female,No,1,0,India,46
Bachelors,2012,Bangalore,3,36,Male,Yes,0,0,India,41
PHD,2013,New Delhi,3,23,Male,No,1,0,India,28
Bachelors,2017,Bangalore,3,36,Male,No,4,1,India,41
Bachelors,2015,New Delhi,3,25,Female,No,3,0,India,30
Bachelors,2014,Bangalore,3,26,Male,No,4,0,India,31
Bachelors,2013,Bangalore,3,24,Male,No,2,1,India,29
Bachelors,2012,Bangalore,3,28,Male,No,2,0,India,33
Masters,2014,New Delhi,3,30,Male,Yes,2,0,India,35
Bachelors,2017,New Delhi,3,29,Female,No,3,0,India,34
Masters,2018,New Delhi,3,38,Male,No,2,1,India,43
PHD,2014,Bangalore,3,38,Female,No,3,0,India,43
Masters,2017,Pune,2,35,Male,No,3,1,India,40
Bachelors,2017,New Delhi,3,41,Female,No,4,0,India,46
PHD,2014,New Delhi,2,37,Female,No,5,0,India,42
Bachelors,2013,Bangalore,3,23,Male,Yes,1,1,India,28
Bachelors,2014,New Delhi,1,28,Female,No,5,0,India,33
Masters,2012,Bangalore,3,31,Female,No,4,0,India,36
Bachelors,2014,Bangalore,3,29,Male,Yes,0,0,India,34
Bachelors,2017,New Delhi,2,30,Male,No,5,0,India,35
Masters,2017,New Delhi,2,37,Male,No,2,0,India,42
Bachelors,2016,Bangalore,3,28,Female,No,5,0,India,33
Masters,2018,Bangalore,3,28,Male,No,2,1,India,33
Bachelors,2014,Bangalore,3,27,Male,Yes,5,0,India,32
Bachelors,2016,Pune,2,37,Female,No,5,1,India,42
Bachelors,2015,Bangalore,3,38,Male,Yes,2,0,India,43
Masters,2013,New Delhi,3,40,Female,No,2,1,India,45
Bachelors,2014,Bangalore,3,38,Male,No,3,0,India,43
Masters,2017,New Delhi,2,40,Female,No,2,0,India,45
Masters,2017,New Delhi,2,33,Male,No,4,0,India,38
Masters,2012,Bangalore,3,27,Male,No,5,1,India,32
Bachelors,2015,Pune,2,28,Female,Yes,1,1,India,33
Bachelors,2016,Pune,3,28,Female,No,4,1,India,33
Bachelors,2012,Pune,2,28,Male,No,2,1,India,33
Bachelors,2016,Bangalore,3,30,Male,Yes,1,0,India,35
Bachelors,2016,Bangalore,3,30,Male,No,1,1,India,35
Masters,2013,Bangalore,3,30,Male,No,5,1,India,35
Bachelors,2013,New Delhi,2,26,Female,No,4,1,India,31
Masters,2017,New Delhi,3,33,Male,No,5,0,India,38
PHD,2018,Bangalore,3,36,Female,No,3,1,India,41
Bachelors,2017,Bangalore,3,35,Male,No,1,1,India,40
Bachelors,2014,Pune,2,38,Female,No,3,1,India,43
Bachelors,2015,Bangalore,3,33,Male,No,3,1,India,38
Bachelors,2013,Bangalore,3,30,Female,No,4,0,India,35
Bachelors,2014,Bangalore,3,39,Female,No,5,0,India,44
Bachelors,2016,New Delhi,3,25,Female,No,3,0,India,30
Bachelors,2012,Pune,3,28,Male,No,3,0,India,33
Masters,2015,New Delhi,3,28,Male,No,0,0,India,33
Masters,2015,Bangalore,3,26,Female,No,4,1,India,31
Bachelors,2017,New Delhi,3,38,Male,No,2,0,India,43
Masters,2012,Bangalore,3,40,Female,No,5,0,India,45
Bachelors,2018,Pune,2,35,Female,No,2,1,India,40
Bachelors,2015,Bangalore,3,36,Male,Yes,4,0,India,41
Bachelors,2014,Pune,2,31,Male,No,3,1,India,36
Bachelors,2015,Bangalore,3,31,Male,No,2,0,India,36
Masters,2018,Bangalore,3,39,Female,No,6,1,India,44
Bachelors,2015,Pune,2,37,Female,No,4,1,India,42
Bachelors,2016,Bangalore,3,22,Male,No,0,0,India,27
Bachelors,2014,Pune,3,34,Male,No,4,0,India,39
Bachelors,2016,Bangalore,3,38,Male,No,2,0,India,43
Masters,2015,Bangalore,2,26,Female,No,4,1,India,31
PHD,2018,Bangalore,3,27,Male,No,5,1,India,32
Masters,2017,New Delhi,3,27,Male,Yes,5,1,India,32
Bachelors,2013,New Delhi,3,27,Female,No,5,1,India,32
Bachelors,2014,Bangalore,3,40,Female,No,3,0,India,45
Bachelors,2015,New Delhi,3,32,Female,No,2,0,India,37
Bachelors,2013,Bangalore,3,37,Male,No,5,0,India,42
Bachelors,2018,Bangalore,3,39,Male,No,1,1,India,44
Bachelors,2015,Pune,3,35,Male,No,0,0,India,40
Bachelors,2017,Pune,3,23,Male,No,1,0,India,28
Masters,2013,New Delhi,2,32,Male,Yes,2,1,India,37
Bachelors,2015,Pune,3,22,Male,No,0,0,India,27
Bachelors,2013,Bangalore,3,28,Male,No,1,1,India,33
Bachelors,2015,Pune,3,25,Male,No,3,0,India,30
Bachelors,2014,Bangalore,3,26,Male,Yes,4,0,India,31
Bachelors,2018,Pune,3,25,Male,No,3,1,India,30
Masters,2015,Pune,3,26,Female,No,4,0,India,31
Bachelors,2013,Pune,2,30,Male,No,1,1,India,35
Bachelors,2017,New Delhi,3,30,Female,No,3,0,India,35
Bachelors,2017,Bangalore,3,35,Male,No,5,0,India,40
Masters,2014,Pune,3,39,Male,No,4,0,India,44
Bachelors,2014,New Delhi,3,38,Female,No,0,0,India,43
PHD,2018,New Delhi,3,34,Male,No,0,1,India,39
Bachelors,2016,Pune,3,29,Male,Yes,5,0,India,34
Masters,2018,New Delhi,3,27,Male,No,5,1,India,32
Bachelors,2015,New Delhi,3,26,Female,No,4,0,India,31
PHD,2014,New Delhi,3,28,Male,No,2,1,India,33
Bachelors,2012,Pune,2,25,Male,No,3,1,India,30
Bachelors,2012,Pune,3,24,Male,No,2,0,India,29
Masters,2017,New Delhi,2,25,Female,Yes,3,1,India,30
Bachelors,2015,New Delhi,3,24,Male,No,2,0,India,29
Bachelors,2015,New Delhi,3,29,Male,No,1,0,India,34
Bachelors,2014,Pune,3,30,Male,No,0,0,India,35
Bachelors,2014,Bangalore,1,39,Male,No,5,0,India,44
Bachelors,2013,Bangalore,3,32,Female,No,4,0,India,37
PHD,2014,Bangalore,3,31,Male,No,1,0,India,36
Bachelors,2015,Bangalore,3,38,Male,No,1,0,India,43
Bachelors,2013,Bangalore,3,22,Male,No,0,1,India,27
Bachelors,2016,Pune,2,35,Female,No,4,1,India,40
Bachelors,2013,Bangalore,3,31,Female,No,5,0,India,36
Masters,2013,Bangalore,1,25,Male,No,3,1,India,30
Bachelors,2018,Bangalore,3,26,Female,No,4,1,India,31
Bachelors,2015,Pune,2,25,Female,Yes,3,1,India,30
Masters,2017,Pune,3,25,Male,No,3,1,India,30
Bachelors,2015,Bangalore,1,25,Male,No,3,0,India,30
Bachelors,2017,Bangalore,3,28,Male,Yes,1,0,India,33
Bachelors,2016,Bangalore,1,26,Male,No,4,0,India,31
Bachelors,2017,New Delhi,2,25,Male,No,3,1,India,30
Masters,2017,Bangalore,2,24,Female,No,2,0,India,29
Bachelors,2015,Bangalore,3,29,Male,No,2,1,India,34
Masters,2015,New Delhi,1,34,Male,No,5,1,India,39
Bachelors,2016,Pune,3,39,Male,No,5,0,India,44
Bachelors,2014,Pune,3,37,Male,No,1,0,India,42
Bachelors,2017,Bangalore,3,41,Male,No,5,1,India,46
Bachelors,2015,Bangalore,1,36,Male,No,1,0,India,41
Bachelors,2017,Bangalore,1,34,Male,Yes,0,0,India,39
Bachelors,2016,Bangalore,3,37,Female,Yes,4,0,India,42
PHD,2018,New Delhi,3,24,Male,No,2,1,India,29
Bachelors,2015,Bangalore,1,35,Male,No,3,0,India,40
PHD,2015,New Delhi,3,28,Female,No,1,0,India,33
Bachelors,2017,Bangalore,3,27,Male,No,5,0,India,32
Bachelors,2012,New Delhi,3,24,Female,No,2,1,India,29
Bachelors,2015,New Delhi,3,28,Male,No,1,0,India,33
Bachelors,2016,Pune,3,27,Male,No,5,1,India,32
Bachelors,2014,Pune,3,28,Male,No,0,0,India,33
Bachelors,2012,Bangalore,3,24,Female,No,2,0,India,29
Bachelors,2015,Bangalore,3,28,Male,No,1,0,India,33
Bachelors,2014,Bangalore,3,32,Male,No,4,0,India,37
Bachelors,2016,Bangalore,3,32,Male,Yes,5,0,India,37
Bachelors,2015,Pune,3,38,Male,No,4,0,India,43
Masters,2017,New Delhi,3,38,Female,No,2,1,India,43
Bachelors,2014,Bangalore,3,36,Male,No,0,0,India,41
Bachelors,2015,Pune,3,39,Male,No,4,0,India,44
Bachelors,2013,Pune,2,28,Female,No,3,1,India,33
Bachelors,2017,New Delhi,2,24,Male,No,2,0,India,29
Masters,2016,Bangalore,3,26,Female,No,4,1,India,31
Bachelors,2016,Pune,2,28,Female,No,4,1,India,33
Masters,2015,New Delhi,3,29,Male,No,2,0,India,34
Bachelors,2018,Bangalore,3,36,Male,No,2,1,India,41
Masters,2017,Pune,3,33,Male,No,4,1,India,38
Bachelors,2015,Bangalore,3,37,Female,No,0,0,India,42
Masters,2017,New Delhi,3,35,Male,No,1,1,India,40
Bachelors,2017,Pune,3,32,Male,No,4,0,India,37
Bachelors,2014,Bangalore,3,37,Male,No,1,0,India,42
Bachelors,2012,Bangalore,3,22,Male,No,0,0,India,27
Bachelors,2016,New Delhi,1,25,Female,Yes,3,0,India,30
Bachelors,2014,Pune,3,25,Female,No,3,0,India,30
Masters,2014,Bangalore,3,26,Male,No,4,1,India,31
Bachelors,2014,Pune,3,25,Male,No,3,0,India,30
Masters,2015,New Delhi,3,27,Female,No,5,0,India,32
Bachelors,2015,Pune,3,27,Female,Yes,5,1,India,32
PHD,2017,New Delhi,3,28,Male,No,3,0,India,33
Bachelors,2017,New Delhi,2,26,Female,No,4,1,India,31
Bachelors,2012,Bangalore,3,28,Female,No,1,1,India,33
Masters,2015,New Delhi,3,27,Male,No,5,0,India,32
Masters,2016,Pune,1,27,Female,No,5,0,India,32
Bachelors,2013,Pune,3,30,Male,No,0,0,India,35
Masters,2013,Bangalore,1,29,Female,No,2,1,India,34
Bachelors,2016,Pune,3,32,Male,No,1,1,India,37
Bachelors,2017,New Delhi,2,33,Male,No,5,0,India,38
Masters,2017,New Delhi,2,37,Female,No,2,0,India,42
Bachelors,2018,Bangalore,2,26,Female,No,4,1,India,31
Bachelors,2016,Pune,2,29,Female,No,4,1,India,34
Bachelors,2013,Bangalore,3,27,Male,No,5,1,India,32
Bachelors,2013,New Delhi,3,25,Female,No,3,0,India,30
Bachelors,2014,Pune,2,26,Female,No,4,1,India,31
Masters,2015,New Delhi,1,27,Male,No,5,0,India,32
Masters,2017,New Delhi,2,25,Male,No,3,1,India,30
Bachelors,2016,New Delhi,3,28,Female,Yes,3,0,India,33
Masters,2014,Pune,3,26,Male,No,4,1,India,31
PHD,2016,New Delhi,3,27,Female,No,5,0,India,32
Bachelors,2015,Bangalore,1,27,Male,No,5,0,India,32
Masters,2016,Pune,3,30,Male,No,1,0,India,35
Masters,2018,Bangalore,3,40,Female,No,3,1,India,45
Bachelors,2014,Pune,3,31,Male,No,5,0,India,36
Bachelors,2014,Bangalore,3,27,Male,No,5,0,India,32
Bachelors,2012,Pune,3,24,Female,No,2,1,India,29
Bachelors,2015,Pune,2,26,Female,Yes,4,1,India,31
Masters,2013,Pune,3,26,Male,No,4,0,India,31
Bachelors,2018,Pune,2,27,Female,No,5,1,India,32
Bachelors,2018,Bangalore,3,25,Female,Yes,3,1,India,30
Bachelors,2016,Pune,3,29,Male,No,2,0,India,34
Bachelors,2015,Pune,3,34,Male,No,4,0,India,39
Bachelors,2013,Bangalore,3,40,Male,No,1,0,India,45
Bachelors,2016,New Delhi,3,33,Male,No,1,0,India,38
Bachelors,2015,Bangalore,3,34,Male,No,2,1,India,39
Bachelors,2014,Bangalore,1,39,Female,No,4,0,India,44
PHD,2018,Bangalore,3,26,Male,No,4,1,India,31
Masters,2017,Pune,2,27,Female,No,5,0,India,32
Bachelors,2015,Pune,2,27,Female,Yes,5,1,India,32
PHD,2017,Pune,3,27,Male,No,5,0,India,32
Bachelors,2016,Bangalore,3,29,Female,No,1,1,India,34
Masters,2017,Pune,2,28,Male,No,5,0,India,33
Bachelors,2017,Pune,2,34,Female,No,5,1,India,39
